发送日期,发送时间,发送年份,时间位置,出现时间秒,弹幕内容,用户ID,弹幕颜色,颜色代码,弹幕模式,字体大小,弹幕长度
2024/11/10,14:10:01,2024,3:41,221.3,这里甄嬛没有穿花盆底,b98b7f7...,白色,#FFFFFF,滚动弹幕,正常,10
2024/11/10,12:10:01,2024,0:06,6.3,好诗！,55918204...,白色,#FFFFFF,滚动弹幕,正常,3
2024/11/9,18:38:10,2024,2:17,137.73,5,68000728...,白色,#FFFFFF,滚动弹幕,正常,1
2024/11/9,12:46:38,2024,2:16,136.5,5,72500a6d...,白色,#FFFFFF,滚动弹幕,正常,1
2024/11/7,14:54:12,2024,2:17,137.03,5,7f14d74f...,白色,#FFFFFF,滚动弹幕,正常,1
2024/11/7,14:30:40,2024,2:16,136.28,5,e64818be...,白色,#FFFFFF,滚动弹幕,正常,1
2024/11/7,11:59:30,2024,2:17,137.1,5,fc1aa2d7...,白色,#FFFFFF,滚动弹幕,正常,1
2024/11/7,9:37:36,2024,2:14,134.45,5,44d6b693...,白色,#FFFFFF,滚动弹幕,正常,1
2024/11/6,20:39:22,2024,2:17,137.62,5,a4cec79...,白色,#FFFFFF,滚动弹幕,正常,1
2024/11/6,18:26:28,2024,2:16,136.49,5,b5c72034...,白色,#FFFFFF,滚动弹幕,正常,1
2024/11/6,15:44:24,2024,2:15,135.96,5,67f0fc54...,白色,#FFFFFF,滚动弹幕,正常,1
2024/11/5,13:42:56,2024,2:16,136.7,5,e2ae25a3...,白色,#FFFFFF,滚动弹幕,正常,1
2024/11/5,13:15:58,2024,2:17,137.03,5,ed034656...,白色,#FFFFFF,滚动弹幕,正常,1
2024/11/4,21:35:01,2024,2:15,135.06,5,7662473e...,白色,#FFFFFF,滚动弹幕,正常,1
2024/11/4,21:22:48,2024,2:16,136.45,5,f91667c5...,白色,#FFFFFF,滚动弹幕,正常,1
2024/11/4,16:41:04,2024,2:15,135.57,5,8d0f0851...,白色,#FFFFFF,滚动弹幕,正常,1
2024/11/4,8:57:24,2024,2:17,137.23,5,be83d829...,白色,#FFFFFF,滚动弹幕,正常,1
2024/11/3,23:27:00,2024,2:16,136.85,5,70f7e713...,白色,#FFFFFF,滚动弹幕,正常,1
2024/11/3,22:24:15,2024,2:12,132.67,5,4010dcaf...,白色,#FFFFFF,滚动弹幕,正常,1
